timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/02/13 06:06:24.359, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:06:34.360, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:06:44.367, 0, Tesla V100S-PCIE-32GB, 28 %, 472 MiB, 32768 MiB
2026/02/13 06:06:54.369, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:07:04.371, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:07:14.373, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:07:24.375, 0, Tesla V100S-PCIE-32GB, 28 %, 472 MiB, 32768 MiB
2026/02/13 06:07:34.376, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 06:07:44.378, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:07:54.379, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:08:04.381, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:08:14.383, 0, Tesla V100S-PCIE-32GB, 30 %, 472 MiB, 32768 MiB
2026/02/13 06:08:24.384, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:08:34.385, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:08:44.387, 0, Tesla V100S-PCIE-32GB, 44 %, 472 MiB, 32768 MiB
2026/02/13 06:08:54.390, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:09:04.392, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:09:14.394, 0, Tesla V100S-PCIE-32GB, 29 %, 472 MiB, 32768 MiB
2026/02/13 06:09:24.396, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:09:34.397, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:09:44.399, 0, Tesla V100S-PCIE-32GB, 23 %, 472 MiB, 32768 MiB
2026/02/13 06:09:54.400, 0, Tesla V100S-PCIE-32GB, 47 %, 472 MiB, 32768 MiB
2026/02/13 06:10:04.402, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
2026/02/13 06:10:14.407, 0, Tesla V100S-PCIE-32GB, 24 %, 472 MiB, 32768 MiB
